@relation traindata

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute att_10 numeric
@attribute att_11 numeric
@attribute att_12 numeric
@attribute att_13 numeric
@attribute class {class1,class2,class4,class5,class6,class8,class9,class10,class11,class3,class7}

@data
{0 0.0,1 6.0,2 1.0,3 -2.729,4 2.104,5 -0.505,6 0.138,7 -0.533,8 0.455,9 0.148,10 -0.407,11 -1.059,12 0.625,13 class6}
{0 0.0,1 6.0,2 1.0,3 -3.025,4 2.711,5 -0.147,6 -0.034,7 -1.34,8 0.049,9 0.364,10 1.099,11 -1.02,12 -0.652,13 class7}
{0 0.0,1 6.0,2 1.0,3 -4.415,4 3.737,5 -1.313,6 -0.815,7 0.168,8 0.59,9 0.975,10 0.42,11 -0.825,12 -0.748,13 class8}
{0 0.0,1 6.0,2 1.0,3 -5.158,4 2.488,5 1.064,6 -0.343,7 0.352,8 0.18,9 -0.05,10 0.817,11 -1.308,12 -0.249,13 class10}
{0 0.0,1 6.0,2 1.0,3 -2.907,4 1.992,5 -0.904,6 0.205,7 0.011,8 0.346,9 -0.031,10 -0.148,11 -1.262,12 0.487,13 class11}
{0 0.0,1 6.0,2 1.0,3 -4.687,4 0.406,5 0.889,6 1.464,7 1.618,8 1.021,9 -0.121,10 -0.398,11 -0.307,12 0.293,13 class1}
{0 0.0,1 6.0,2 1.0,3 -2.452,4 0.279,5 -0.805,6 1.141,7 0.239,8 0.176,9 -0.104,10 -0.752,11 -0.334,12 0.731,13 class3}
{0 0.0,1 6.0,2 1.0,3 -2.081,4 2.043,5 -0.521,6 0.578,7 -0.463,8 -0.246,9 -0.041,10 -0.162,11 -0.814,12 0.425,13 class4}
{0 0.0,1 6.0,2 1.0,3 -2.982,4 2.001,5 -0.915,6 0.188,7 0.035,8 0.467,9 -0.13,10 -0.689,11 -0.684,12 0.664,13 class6}
{0 0.0,1 6.0,2 1.0,3 -2.752,4 1.778,5 -0.718,6 0.057,7 -0.009,8 0.402,9 0.121,10 0.05,11 -1.435,12 0.281,13 class11}
{0 0.0,1 7.0,2 1.0,3 -5.058,4 2.236,5 1.381,6 1.885,7 -0.259,8 -0.483,9 -0.562,10 0.123,11 -0.063,12 0.663,13 class1}
{0 0.0,1 7.0,2 1.0,3 -4.181,4 1.646,5 0.736,6 1.286,7 0.724,8 -0.511,9 -1.126,10 -0.45,11 -0.648,12 0.995,13 class2}
{0 0.0,1 7.0,2 1.0,3 -2.813,4 2.327,5 -1.246,6 -0.184,7 -0.755,8 0.491,9 1.202,10 -0.558,11 -0.669,12 0.054,13 class5}
{0 0.0,1 7.0,2 1.0,3 -3.133,4 1.983,5 -1.398,6 0.254,7 -0.667,8 0.532,9 0.389,10 -0.178,11 -0.584,12 0.844,13 class6}
{0 0.0,1 7.0,2 1.0,3 -3.749,4 3.018,5 -0.755,6 -0.452,7 -0.666,8 0.209,9 0.741,10 0.9,11 -1.613,12 0.128,13 class7}
{0 0.0,1 7.0,2 1.0,3 -4.373,4 4.643,5 -0.792,6 -1.332,7 -0.202,8 0.597,9 0.192,10 1.133,11 -1.131,12 -0.28,13 class8}
{0 0.0,1 7.0,2 1.0,3 -4.468,4 4.121,5 -0.42,6 -1.197,7 0.338,8 0.6,9 -0.11,10 0.314,11 -1.248,12 -0.012,13 class9}
{0 0.0,1 7.0,2 1.0,3 -4.902,4 4.49,5 -0.564,6 -0.536,7 -0.164,8 -0.298,9 0.842,10 -0.158,11 -0.906,12 0.358,13 class10}
{0 0.0,1 7.0,2 1.0,3 -4.125,4 2.3,5 -0.167,6 -0.27,7 0.103,8 0.32,9 -0.467,10 -0.254,11 -0.415,12 0.863,13 class11}
{0 0.0,1 7.0,2 1.0,3 -5.124,4 2.319,5 1.413,6 1.804,7 -0.277,8 -0.33,9 -0.746,10 0.221,11 0.06,12 0.46,13 class1}
{0 0.0,1 7.0,2 1.0,3 -4.393,4 2.137,5 0.57,6 1.397,7 0.293,8 -0.836,9 -0.966,10 -0.461,11 -0.277,12 1.184,13 class2}
{0 0.0,1 7.0,2 1.0,3 -3.654,4 1.222,5 -0.574,6 0.248,7 -0.299,8 0.158,9 0.154,10 0.553,11 -0.58,12 0.617,13 class4}
{0 0.0,1 7.0,2 1.0,3 -3.001,4 2.263,5 -1.178,6 -0.116,7 -0.922,8 0.536,9 1.286,10 -0.506,11 -0.566,12 -0.102,13 class5}
{0 0.0,1 7.0,2 1.0,3 -3.417,4 1.984,5 -1.148,6 0.234,7 -0.778,8 0.411,9 0.494,10 0.13,11 -0.704,12 0.764,13 class6}
{0 0.0,1 7.0,2 1.0,3 -3.887,4 3.172,5 -0.739,6 -0.69,7 -0.548,8 0.33,9 0.569,10 0.98,11 -1.609,12 0.283,13 class7}
{0 0.0,1 7.0,2 1.0,3 -4.474,4 4.569,5 -1.069,6 -1.409,7 0.137,8 1.049,9 0.071,10 0.877,11 -1.355,12 -0.167,13 class8}
{0 0.0,1 7.0,2 1.0,3 -4.471,4 4.096,5 -0.809,6 -0.881,7 0.646,8 0.539,9 0.04,10 0.142,11 -1.555,12 -0.023,13 class9}
{0 0.0,1 7.0,2 1.0,3 -4.947,4 4.637,5 -0.444,6 -0.953,7 -0.119,8 -0.249,9 0.594,10 0.27,11 -0.783,12 0.265,13 class10}
{0 0.0,1 7.0,2 1.0,3 -4.173,4 2.299,5 -0.298,6 -0.13,7 0.122,8 0.319,9 -0.388,10 -0.328,11 -0.48,12 0.99,13 class11}
{0 0.0,1 7.0,2 1.0,3 -4.058,4 1.072,5 0.157,6 1.136,7 0.385,8 -0.687,9 -0.583,10 -0.185,11 -0.3,12 1.177,13 class3}
{0 0.0,1 7.0,2 1.0,3 -3.631,4 1.195,5 -0.719,6 0.13,7 -0.065,8 0.348,9 -0.061,10 0.555,11 -0.594,12 0.806,13 class4}
{0 0.0,1 7.0,2 1.0,3 -3.434,4 2.26,5 -1.065,6 -0.122,7 -0.795,8 0.363,9 1.403,10 -0.507,11 -0.375,12 0.015,13 class5}
{0 0.0,1 7.0,2 1.0,3 -3.765,4 1.97,5 -0.955,6 0.304,7 -0.735,8 0.41,9 0.38,10 0.146,11 -0.536,12 0.738,13 class6}
{0 0.0,1 7.0,2 1.0,3 -3.975,4 3.066,5 -0.506,6 -0.827,7 -0.478,8 0.434,9 0.356,10 0.939,11 -1.309,12 0.204,13 class7}
{0 0.0,1 7.0,2 1.0,3 -4.497,4 4.5,5 -1.446,6 -1.127,7 0.443,8 0.986,9 0.136,10 0.597,11 -1.087,12 -0.073,13 class8}
{0 0.0,1 7.0,2 1.0,3 -4.475,4 4.064,5 -0.927,6 -0.678,7 0.599,8 0.445,9 0.224,10 0.103,11 -1.336,12 -0.192,13 class9}
{0 0.0,1 7.0,2 1.0,3 -5.011,4 4.976,5 -0.868,6 -1.215,7 0.17,8 -0.018,9 0.543,10 0.154,11 -0.841,12 0.707,13 class10}
{0 0.0,1 7.0,2 1.0,3 -4.151,4 2.069,5 -0.605,6 0.111,7 0.41,8 0.354,9 -0.284,10 -0.381,11 -0.507,12 0.737,13 class11}
{0 0.0,1 7.0,2 1.0,3 -4.316,4 1.409,5 0.441,6 1.819,7 0.5,8 -0.617,9 -0.633,10 -0.621,11 -0.671,12 1.193,13 class2}
{0 0.0,1 7.0,2 1.0,3 -4.149,4 1.129,5 -0.008,6 1.215,7 0.39,8 -0.474,9 -0.4,10 -0.343,11 -0.344,12 0.886,13 class3}
{0 0.0,1 7.0,2 1.0,3 -3.581,4 1.188,5 -0.958,6 0.189,7 -0.077,8 0.451,9 0.049,10 0.449,11 -0.676,12 0.919,13 class4}
{0 0.0,1 7.0,2 1.0,3 -3.828,4 2.367,5 -0.836,6 -0.343,7 -0.466,8 0.116,9 1.172,10 -0.175,11 -0.275,12 0.117,13 class5}
{0 0.0,1 7.0,2 1.0,3 -3.949,4 2.99,5 -0.643,6 -0.986,7 -0.175,8 0.768,9 0.249,10 0.803,11 -1.479,12 0.168,13 class7}
{0 0.0,1 7.0,2 1.0,3 -4.471,4 4.461,5 -1.887,6 -0.799,7 0.719,8 0.938,9 0.239,10 0.342,11 -1.036,12 -0.06,13 class8}
{0 0.0,1 7.0,2 1.0,3 -4.58,4 4.116,5 -0.753,6 -0.849,7 0.516,8 0.498,9 0.117,10 0.181,11 -1.256,12 -0.119,13 class9}
{0 0.0,1 7.0,2 1.0,3 -5.049,4 4.846,5 -0.678,6 -0.877,7 -0.09,8 0.005,9 0.253,10 -0.078,11 -0.178,12 0.131,13 class10}
{0 0.0,1 7.0,2 1.0,3 -4.316,4 1.272,5 -0.087,6 1.285,7 0.126,8 -0.128,9 -0.286,10 -0.463,11 -0.294,12 0.691,13 class3}
{0 0.0,1 7.0,2 1.0,3 -3.622,4 1.111,5 -0.972,6 0.399,7 -0.402,8 0.527,9 0.271,10 0.373,11 -0.716,12 0.943,13 class4}
{0 0.0,1 7.0,2 1.0,3 -3.962,4 1.724,5 -1.29,6 0.531,7 -0.17,8 0.528,9 0.282,10 -0.149,11 -0.603,12 1.139,13 class6}
{0 0.0,1 7.0,2 1.0,3 -4.469,4 4.348,5 -1.74,6 -0.886,7 0.447,8 0.883,9 0.374,10 0.577,11 -0.908,12 -0.089,13 class8}
{0 0.0,1 7.0,2 1.0,3 -5.04,4 5.074,5 -1.721,6 -0.264,7 0.279,8 0.176,9 0.003,10 -0.609,11 -0.177,12 0.422,13 class10}
{0 0.0,1 7.0,2 1.0,3 -4.169,4 1.799,5 -0.621,6 0.025,7 0.706,8 0.362,9 -0.343,10 -0.049,11 -0.339,12 0.22,13 class11}
{0 0.0,1 7.0,2 1.0,3 -5.105,4 1.968,5 1.14,6 1.719,7 -0.443,8 -0.432,9 -0.969,10 -0.173,11 0.551,12 0.176,13 class1}
{0 0.0,1 7.0,2 1.0,3 -4.544,4 1.672,5 0.643,6 1.281,7 0.504,8 -0.803,9 -0.709,10 -0.229,11 -0.546,12 1.058,13 class2}
{0 0.0,1 7.0,2 1.0,3 -4.426,4 1.167,5 0.008,6 1.315,7 0.189,8 -0.297,9 -0.124,10 -0.244,11 -0.423,12 0.684,13 class3}
{0 0.0,1 7.0,2 1.0,3 -3.597,4 2.146,5 -1.492,6 -0.142,7 -0.297,8 0.815,9 0.87,10 -0.49,11 -0.471,12 0.41,13 class5}
{0 0.0,1 7.0,2 1.0,3 -4.065,4 2.876,5 -0.856,6 -0.221,7 -0.533,8 0.232,9 0.855,10 0.633,11 -1.452,12 0.272,13 class7}
{0 0.0,1 7.0,2 1.0,3 -4.513,4 4.265,5 -1.477,6 -1.09,7 0.215,8 0.829,9 0.342,10 0.693,11 -0.601,12 -0.056,13 class8}
{0 0.0,1 7.0,2 1.0,3 -4.651,4 4.246,5 -0.823,6 -0.831,7 0.666,8 0.546,9 -0.3,10 0.094,11 -1.343,12 0.185,13 class9}
{0 0.0,1 7.0,2 1.0,3 -5.034,4 4.993,5 -1.633,6 -0.285,7 0.398,8 0.181,9 -0.211,10 -0.508,11 -0.283,12 0.304,13 class10}
{0 1.0,1 8.0,2 0.0,3 -1.149,4 -0.904,5 -1.988,6 0.739,7 -0.06,8 1.206,9 0.864,10 1.196,11 -0.3,12 -0.467,13 class1}
{0 1.0,1 8.0,2 0.0,3 -2.505,4 0.632,5 -0.593,6 0.304,7 0.496,8 0.824,9 -0.162,10 0.181,11 -0.363,12 -0.764,13 class3}
{0 1.0,1 8.0,2 0.0,3 -1.768,4 1.769,5 -1.142,6 -0.739,7 -0.086,8 0.12,9 -0.23,10 0.217,11 -0.009,12 -0.279,13 class4}
{0 1.0,1 8.0,2 0.0,3 -2.671,4 3.155,5 -0.514,6 0.133,7 -0.964,8 0.234,9 -0.071,10 1.192,11 0.254,12 -0.471,13 class5}
{0 1.0,1 8.0,2 0.0,3 -2.764,4 1.111,5 0.727,6 1.54,7 -0.855,8 0.261,9 -1.11,10 0.227,11 0.42,12 0.991,13 class7}
{0 1.0,1 8.0,2 0.0,3 -3.816,4 3.426,5 0.224,6 -0.384,7 -1.733,8 0.434,9 -0.322,10 1.333,11 0.653,12 0.577,13 class8}
{0 1.0,1 8.0,2 0.0,3 -3.839,4 1.248,5 0.83,6 0.982,7 -1.11,8 0.617,9 -0.751,10 0.084,11 0.309,12 1.125,13 class9}
{0 1.0,1 8.0,2 0.0,3 -2.895,4 0.682,5 -0.151,6 0.218,7 -0.689,8 1.118,9 -0.264,10 0.922,11 0.757,12 0.327,13 class11}
{0 1.0,1 8.0,2 0.0,3 -1.093,4 -0.922,5 -2.091,6 0.844,7 0.009,8 1.247,9 0.891,10 1.453,11 -0.089,12 -0.4,13 class1}
{0 1.0,1 8.0,2 0.0,3 -2.499,4 0.119,5 -0.82,6 0.346,7 0.347,8 1.696,9 0.245,10 0.689,11 -0.084,12 -0.596,13 class2}
{0 1.0,1 8.0,2 0.0,3 -2.633,4 0.672,5 -0.372,6 0.439,7 0.437,8 0.907,9 -0.402,10 -0.04,11 -0.366,12 -0.741,13 class3}
{0 1.0,1 8.0,2 0.0,3 -1.707,4 1.652,5 -1.012,6 -0.622,7 -0.293,8 0.279,9 -0.276,10 0.477,11 0.05,12 -0.2,13 class4}
{0 1.0,1 8.0,2 0.0,3 -2.696,4 3.129,5 -0.52,6 0.294,7 -0.989,8 0.019,9 -0.066,10 1.106,11 0.361,12 -0.396,13 class5}
{0 1.0,1 8.0,2 0.0,3 -2.592,4 1.617,5 0.267,6 0.38,7 -0.777,8 0.487,9 -0.206,10 0.733,11 0.592,12 -0.403,13 class6}
{0 1.0,1 8.0,2 0.0,3 -2.733,4 1.088,5 0.761,6 1.694,7 -0.833,8 0.292,9 -1.069,10 0.266,11 0.369,12 1.034,13 class7}
{0 1.0,1 8.0,2 0.0,3 -3.835,4 3.339,5 0.29,6 -0.126,7 -1.68,8 0.195,9 -0.368,10 1.328,11 0.523,12 0.861,13 class8}
{0 1.0,1 8.0,2 0.0,3 -3.915,4 2.158,5 0.781,6 0.643,7 -1.023,8 0.598,9 -0.718,10 0.274,11 0.376,12 0.77,13 class9}
{0 1.0,1 8.0,2 0.0,3 -2.982,4 0.522,5 -0.1,6 0.362,7 -0.66,8 1.115,9 -0.305,10 0.859,11 0.637,12 0.344,13 class11}
{0 1.0,1 8.0,2 0.0,3 -1.89,4 0.207,5 -1.161,6 0.027,7 -0.047,8 1.581,9 0.277,10 1.129,11 0.366,12 -0.25,13 class2}
{0 1.0,1 8.0,2 0.0,3 -2.677,4 0.486,5 -0.061,6 0.517,7 0.222,8 1.102,9 -0.425,10 -0.096,11 -0.373,12 -0.484,13 class3}
{0 1.0,1 8.0,2 0.0,3 -2.625,4 1.551,5 0.298,6 0.324,7 -1.05,8 0.746,9 0.067,10 0.603,11 0.342,12 -0.413,13 class6}
{0 1.0,1 8.0,2 0.0,3 -2.632,4 0.881,5 0.71,6 1.8,7 -0.75,8 0.33,9 -1.128,10 0.177,11 0.339,12 1.166,13 class7}
{0 1.0,1 8.0,2 0.0,3 -3.888,4 3.085,5 0.436,6 0.142,7 -1.526,8 -0.052,9 -0.503,10 1.085,11 0.511,12 0.976,13 class8}
{0 1.0,1 8.0,2 0.0,3 -3.824,4 1.832,5 1.093,6 1.024,7 -1.09,8 0.56,9 -0.336,10 0.299,11 0.126,12 1.005,13 class9}
{0 1.0,1 8.0,2 0.0,3 -4.813,4 1.042,5 0.887,6 1.661,7 -0.534,8 0.747,9 -0.513,10 -0.448,11 -0.412,12 1.214,13 class10}
{0 1.0,1 8.0,2 0.0,3 -2.971,4 0.463,5 -0.195,6 0.323,7 -0.625,8 0.941,9 -0.327,10 0.78,11 0.552,12 0.436,13 class11}
{0 1.0,1 8.0,2 0.0,3 -2.698,4 -1.027,5 -0.94,6 1.796,7 0.392,8 1.33,9 0.866,10 0.781,11 -0.838,12 -0.663,13 class1}
{0 1.0,1 8.0,2 0.0,3 -1.358,4 0.136,5 -1.082,6 -0.148,7 -0.609,8 1.464,9 0.144,10 1.149,11 0.481,12 0.119,13 class2}
{0 1.0,1 8.0,2 0.0,3 -2.594,4 0.621,5 -0.292,6 0.521,7 0.26,8 1.204,9 -0.337,10 0.261,11 -0.332,12 -0.51,13 class3}
{0 1.0,1 8.0,2 0.0,3 -1.793,4 0.925,5 -0.739,6 -0.396,7 -0.211,8 0.329,9 -0.403,10 0.604,11 0.197,12 -0.251,13 class4}
{0 1.0,1 8.0,2 0.0,3 -2.92,4 2.697,5 -0.116,6 0.451,7 -0.859,8 -0.035,9 -0.307,10 0.874,11 0.622,12 -0.301,13 class5}
{0 1.0,1 8.0,2 0.0,3 -2.696,4 1.26,5 0.436,6 0.657,7 -1.161,8 0.805,9 0.062,10 0.575,11 0.182,12 -0.334,13 class6}
{0 1.0,1 8.0,2 0.0,3 -2.484,4 0.559,5 0.624,6 1.951,7 -0.646,8 0.381,9 -1.106,10 0.036,11 0.24,12 1.291,13 class7}
{0 1.0,1 8.0,2 0.0,3 -3.776,4 1.752,5 0.92,6 0.722,7 -1.164,8 0.774,9 -0.01,10 0.657,11 0.248,12 1.055,13 class9}
{0 1.0,1 8.0,2 0.0,3 -4.717,4 0.829,5 0.853,6 1.98,7 -0.546,8 0.688,9 -0.434,10 -0.424,11 -0.636,12 1.245,13 class10}
{0 1.0,1 8.0,2 0.0,3 -3.366,4 -0.826,5 -0.405,6 1.643,7 0.603,8 1.226,9 0.524,10 0.293,11 -0.858,12 -0.668,13 class1}
{0 1.0,1 8.0,2 0.0,3 -1.817,4 0.559,5 -0.801,6 0.234,7 0.011,8 1.215,9 -0.161,10 0.809,11 0.018,12 -0.382,13 class3}
{0 1.0,1 8.0,2 0.0,3 -3.038,4 2.475,5 0.024,6 0.508,7 -0.737,8 -0.102,9 -0.358,10 0.706,11 0.6,12 -0.209,13 class5}
{0 1.0,1 8.0,2 0.0,3 -2.889,4 1.418,5 0.409,6 0.61,7 -1.018,8 0.992,9 0.005,10 0.518,11 -0.027,12 -0.326,13 class6}
{0 1.0,1 8.0,2 0.0,3 -2.71,4 0.809,5 0.754,6 1.903,7 -0.764,8 0.378,9 -1.123,10 0.162,11 0.405,12 1.163,13 class7}
{0 1.0,1 8.0,2 0.0,3 -3.992,4 3.342,5 0.167,6 0.086,7 -1.23,8 -0.216,9 -0.824,10 0.837,11 0.521,12 0.978,13 class8}
{0 1.0,1 8.0,2 0.0,3 -4.683,4 0.773,5 0.888,6 2.302,7 -0.562,8 0.395,9 -0.401,10 -0.289,11 -0.839,12 1.165,13 class10}
{0 1.0,1 8.0,2 0.0,3 -3.375,4 1.779,5 -0.822,6 0.382,7 -0.019,8 0.845,9 0.123,10 0.767,11 0.223,12 -0.337,13 class11}
{0 1.0,1 8.0,2 0.0,3 -3.312,4 -0.776,5 -0.504,6 1.39,7 0.86,8 1.257,9 0.222,10 0.314,11 -0.715,12 -0.765,13 class1}
{0 1.0,1 8.0,2 0.0,3 -2.073,4 0.088,5 -0.73,6 0.296,7 -0.286,8 1.75,9 0.154,10 1.078,11 0.294,12 -0.174,13 class2}
{0 1.0,1 8.0,2 0.0,3 -1.222,4 0.491,5 -0.716,6 0.004,7 -0.323,8 1.108,9 -0.148,10 0.773,11 0.387,12 -0.073,13 class3}
{0 1.0,1 8.0,2 0.0,3 -3.958,4 4.132,5 -0.074,6 -0.19,7 -1.184,8 -0.11,9 -0.679,10 1.198,11 0.442,12 0.563,13 class8}
{0 1.0,1 8.0,2 0.0,3 -3.947,4 2.102,5 0.305,6 0.462,7 -0.765,8 1.037,9 -0.618,10 0.741,11 0.345,12 0.269,13 class9}
{0 1.0,1 8.0,2 0.0,3 -4.756,4 0.965,5 0.959,6 2.287,7 -0.527,8 0.454,9 -0.41,10 -0.362,11 -0.862,12 1.088,13 class10}
{0 1.0,1 8.0,2 0.0,3 -3.366,4 1.952,5 -0.898,6 0.258,7 0.282,8 0.835,9 0.29,10 0.681,11 0.431,12 -0.461,13 class11}
{0 1.0,1 9.0,2 0.0,3 -3.137,4 0.077,5 -1.157,6 1.589,7 0.204,8 1.898,9 0.17,10 0.676,11 -1.033,12 -0.635,13 class1}
{0 1.0,1 9.0,2 0.0,3 -3.262,4 0.956,5 -0.791,6 1.528,7 -0.021,8 0.977,9 -0.121,10 0.499,11 -0.99,12 -0.621,13 class2}
{0 1.0,1 9.0,2 0.0,3 -1.993,4 1.725,5 -1.13,6 0.556,7 -1.223,8 0.485,9 0.211,10 -0.04,11 -0.294,12 -0.548,13 class4}
{0 1.0,1 9.0,2 0.0,3 -2.765,4 2.817,5 -2.02,6 0.213,7 -0.772,8 0.852,9 0.252,10 -0.193,11 -0.202,12 -0.093,13 class5}
{0 1.0,1 9.0,2 0.0,3 -2.55,4 2.391,5 -1.137,6 0.09,7 -0.948,8 0.217,9 0.051,10 0.723,11 -0.558,12 -0.204,13 class6}
{0 1.0,1 9.0,2 0.0,3 -4.047,4 3.899,5 -0.423,6 0.147,7 -1.273,8 0.203,9 0.317,10 0.531,11 0.584,12 -0.11,13 class8}
{0 1.0,1 9.0,2 0.0,3 -4.693,4 3.146,5 -0.136,6 0.587,7 -0.731,8 1.055,9 -0.104,10 -0.021,11 0.637,12 -0.192,13 class10}
{0 1.0,1 9.0,2 0.0,3 -3.73,4 1.872,5 -0.801,6 0.555,7 -0.427,8 0.791,9 0.196,10 0.65,11 -0.744,12 -0.372,13 class11}
{0 1.0,1 9.0,2 0.0,3 -3.339,4 1.004,5 -0.747,6 1.505,7 -0.068,8 1.007,9 -0.017,10 0.377,11 -0.775,12 -0.899,13 class2}
{0 1.0,1 9.0,2 0.0,3 -2.008,4 0.785,5 -1.489,6 0.654,7 -0.685,8 0.313,9 -0.085,10 0.856,11 -0.516,12 -0.053,13 class3}
{0 1.0,1 9.0,2 0.0,3 -2.785,4 2.792,5 -1.924,6 0.225,7 -0.985,8 1.076,9 0.07,10 -0.071,11 -0.257,12 -0.135,13 class5}
{0 1.0,1 9.0,2 0.0,3 -2.538,4 2.351,5 -1.029,6 0.146,7 -0.922,8 0.201,9 -0.058,10 0.835,11 -0.712,12 -0.074,13 class6}
{0 1.0,1 9.0,2 0.0,3 -3.231,4 3.003,5 -1.161,6 -0.315,7 -0.816,8 0.87,9 0.311,10 0.677,11 -0.565,12 -0.7,13 class7}
{0 1.0,1 9.0,2 0.0,3 -4.033,4 4.071,5 -0.586,6 0.127,7 -1.447,8 0.62,9 0.197,10 0.711,11 0.48,12 -0.306,13 class8}
{0 1.0,1 9.0,2 0.0,3 -4.13,4 3.105,5 -1.141,6 0.183,7 -0.498,8 1.324,9 -0.399,10 0.675,11 -0.339,12 -0.694,13 class9}
{0 1.0,1 9.0,2 0.0,3 -4.718,4 3.281,5 -0.203,6 0.651,7 -0.883,8 1.413,9 -0.663,10 0.583,11 0.237,12 -0.307,13 class10}
{0 1.0,1 9.0,2 0.0,3 -3.7,4 1.841,5 -0.675,6 0.441,7 -0.383,8 0.89,9 0.176,10 0.594,11 -0.677,12 -0.408,13 class11}
{0 1.0,1 9.0,2 0.0,3 -2.973,4 0.036,5 -1.273,6 1.519,7 0.195,8 1.98,9 0.131,10 0.832,11 -1.157,12 -0.547,13 class1}
{0 1.0,1 9.0,2 0.0,3 -1.929,4 0.777,5 -1.415,6 0.598,7 -0.579,8 0.215,9 -0.061,10 0.733,11 -0.333,12 -0.235,13 class3}
{0 1.0,1 9.0,2 0.0,3 -2.521,4 2.283,5 -0.954,6 0.232,7 -0.918,8 0.253,9 -0.094,10 0.833,11 -0.704,12 -0.092,13 class6}
{0 1.0,1 9.0,2 0.0,3 -3.173,4 3.166,5 -1.501,6 -0.37,7 -0.437,8 0.974,9 0.179,10 0.556,11 -0.794,12 -0.549,13 class7}
{0 1.0,1 9.0,2 0.0,3 -4.049,4 4.039,5 -0.558,6 0.064,7 -1.676,8 1.024,9 0.047,10 1.024,11 -0.091,12 -0.283,13 class8}
{0 1.0,1 9.0,2 0.0,3 -4.13,4 3.291,5 -1.424,6 0.359,7 -0.273,8 1.297,9 -0.454,10 0.62,11 -0.527,12 -0.709,13 class9}
{0 1.0,1 9.0,2 0.0,3 -4.753,4 3.421,5 -0.189,6 0.656,7 -0.984,8 1.443,9 -0.652,10 0.546,11 0.123,12 -0.326,13 class10}
{0 1.0,1 9.0,2 0.0,3 -3.725,4 1.904,5 -0.737,6 0.433,7 -0.369,8 1.047,9 0.12,10 0.425,11 -0.678,12 -0.391,13 class11}
{0 1.0,1 9.0,2 0.0,3 -3.0,4 0.042,5 -1.238,6 1.529,7 0.187,8 2.028,9 0.104,10 0.759,11 -1.18,12 -0.634,13 class1}
{0 1.0,1 9.0,2 0.0,3 -3.587,4 1.193,5 -0.617,6 1.34,7 -0.022,8 1.103,9 -0.072,10 0.368,11 -0.854,12 -0.767,13 class2}
{0 1.0,1 9.0,2 0.0,3 -1.925,4 1.517,5 -0.999,6 0.634,7 -1.27,8 0.207,9 0.385,10 0.004,11 -0.141,12 -0.624,13 class4}
{0 1.0,1 9.0,2 0.0,3 -2.797,4 2.706,5 -1.936,6 0.147,7 -0.921,8 1.24,9 -0.082,10 -0.006,11 -0.214,12 -0.064,13 class5}
{0 1.0,1 9.0,2 0.0,3 -2.561,4 2.191,5 -0.955,6 0.214,7 -0.841,8 0.386,9 -0.083,10 0.74,11 -0.612,12 -0.196,13 class6}
{0 1.0,1 9.0,2 0.0,3 -3.152,4 3.176,5 -1.573,6 -0.204,7 -0.485,8 0.723,9 0.308,10 0.652,11 -0.872,12 -0.586,13 class7}
{0 1.0,1 9.0,2 0.0,3 -4.139,4 3.363,5 -1.464,6 0.459,7 -0.066,8 1.045,9 -0.146,10 0.172,11 -0.124,12 -0.864,13 class9}
{0 1.0,1 9.0,2 0.0,3 -4.782,4 3.325,5 -0.071,6 0.663,7 -0.913,8 1.012,9 -0.033,10 -0.103,11 0.483,12 -0.202,13 class10}
{0 1.0,1 9.0,2 0.0,3 -3.055,4 0.088,5 -1.217,6 1.562,7 0.186,8 2.059,9 0.054,10 0.639,11 -1.121,12 -0.757,13 class1}
{0 1.0,1 9.0,2 0.0,3 -3.711,4 1.377,5 -0.584,6 1.428,7 -0.033,8 1.062,9 -0.127,10 0.328,11 -1.092,12 -0.565,13 class2}
{0 1.0,1 9.0,2 0.0,3 -1.926,4 0.689,5 -1.433,6 0.716,7 -0.588,8 0.269,9 -0.044,10 0.716,11 -0.245,12 -0.285,13 class3}
{0 1.0,1 9.0,2 0.0,3 -1.948,4 1.536,5 -1.012,6 0.537,7 -1.229,8 0.183,9 0.46,10 -0.002,11 -0.178,12 -0.576,13 class4}
{0 1.0,1 9.0,2 0.0,3 -2.8,4 2.609,5 -1.726,6 0.036,7 -0.941,8 1.039,9 0.191,10 0.044,11 -0.165,12 -0.234,13 class5}
{0 1.0,1 9.0,2 0.0,3 -3.19,4 3.101,5 -1.659,6 -0.182,7 -0.436,8 0.828,9 0.272,10 0.502,11 -0.857,12 -0.516,13 class7}
{0 1.0,1 9.0,2 0.0,3 -4.074,4 4.187,5 -0.555,6 0.052,7 -1.603,8 0.73,9 -0.061,10 0.981,11 0.249,12 -0.25,13 class8}
{0 1.0,1 9.0,2 0.0,3 -4.174,4 3.54,5 -1.43,6 0.417,7 0.267,8 0.918,9 -0.118,10 -0.267,11 -0.162,12 -0.71,13 class9}
{0 1.0,1 9.0,2 0.0,3 -4.827,4 3.391,5 -0.099,6 0.599,7 -0.723,8 0.741,9 0.089,10 -0.214,11 0.518,12 -0.074,13 class10}
{0 1.0,1 9.0,2 0.0,3 -3.735,4 2.096,5 -0.818,6 0.463,7 -0.221,8 1.144,9 0.023,10 0.224,11 -0.745,12 -0.325,13 class11}
